
ctrl-k,ctrl-c, 		***comment html  
ctrl-k,ctrl-u, 		***uncomment html  
shift-alt, arrowdown , 	***copy line  
unassigned		Toggle Render Whitespace	toggleRenderWhitespace
Alt+Z			Toggle Word Wrap	editor.action.toggleWordWrap

Rich Languages Editing
Key	Command	Command id
---------------------------------------------------------------------------------------------
Ctrl+Space		***Trigger Suggest	editor.action.triggerSuggest
Ctrl+Shift+Space	***Trigger Parameter Hints	editor.action.triggerParameterHints
Shift+Alt+F		***Format Document	editor.action.formatDocument
Ctrl+K Ctrl+F		***Format Selection	editor.action.formatSelection
F12			***Go to Definition	editor.action.goToDeclaration
Alt+F12			Peek Definition	editor.action.previewDeclaration
Ctrl+K F12		Open Definition to the Side	editor.action.openDeclarationToTheSide
Ctrl+.			Quick Fix	editor.action.quickFix
Shift+F12		Show References	editor.action.referenceSearch.trigger
F2			***Rename Symbol	editor.action.rename
Ctrl+Shift+.		Replace with Next Value	editor.action.inPlaceReplace.down
Ctrl+Shift+,		Replace with Previous Value	editor.action.inPlaceReplace.up
Shift+Alt+Right		Expand AST Select	editor.action.smartSelect.grow
Shift+Alt+Left		Shrink AST Select	editor.action.smartSelect.shrink
Ctrl+K Ctrl+X		Trim Trailing Whitespace	editor.action.trimTrailingWhitespace
Ctrl+K M		***Change Language Mode	workbench.action.editor.changeLanguageMode

Navigation
Key	Command	Command id
-----------------------------------------------------------------------------------------------
Ctrl+T	S		how All Symbols	workbench.action.showAllSymbols
Ctrl+G			Go to Line...	workbench.action.gotoLine
Ctrl+P			Go to File..., Quick Open	workbench.action.quickOpen
Ctrl+Shift+O		Go to Symbol...	workbench.action.gotoSymbol
Ctrl+Shift+M		Show Problems	workbench.actions.view.problems
F8			Go to Next Error or Warning	editor.action.marker.next
Shift+F8		Go to Previous Error or Warning	editor.action.marker.prev
Ctrl+Shift+P		Show All Commands	workbench.action.showCommands
Ctrl+Shift+Tab		Navigate Editor Group History	workbench.action.openPreviousRecentlyUsedEditorInGroup
Alt+Left		Go Back	workbench.action.navigateBack
Alt+Right		Go Forward	workbench.action.navigateForward

Editor/Window Management
Key	Command	Command id
--------------------------------------------------------------------------------------------------
Ctrl+Shift+N		New Window	workbench.action.newWindow
Ctrl+W			Close Window	workbench.action.closeWindow
Ctrl+F4			Close Editor	workbench.action.closeActiveEditor
Ctrl+K F		Close Folder	workbench.action.closeFolder
unassigned		Cycle Between Editor Groups	workbench.action.navigateEditorGroups
Ctrl+\			Split Editor	workbench.action.splitEditor
Ctrl+1			Focus into Left Editor Group	workbench.action.focusFirstEditorGroup
Ctrl+2			Focus into Side Editor Group	workbench.action.focusSecondEditorGroup
Ctrl+3			Focus into Right Editor Group	workbench.action.focusThirdEditorGroup
Ctrl+K Ctrl+Left	Focus into Editor Group on the Left	workbench.action.focusPreviousGroup
Ctrl+K Ctrl+Right	Focus into Editor Group on the Right	workbench.action.focusNextGroup
Ctrl+Shift+PageUp	Move Editor Left	workbench.action.moveEditorLeftInGroup
Ctrl+Shift+PageDown	Move Editor Right	workbench.action.moveEditorRightInGroup
Ctrl+K Left		Move Active Editor Group Left	workbench.action.moveActiveEditorGroupLeft
Ctrl+K Right		Move Active Editor Group Right	workbench.action.moveActiveEditorGroupRight

File Management
Key	Command	Command id
-----------------------------------------------------------------------------------------------------
Ctrl+N			New File	workbench.action.files.newUntitledFile
Ctrl+O			Open File...	workbench.action.files.openFile
Ctrl+S			Save	workbench.action.files.save
Ctrl+K S		Save All	workbench.action.files.saveAll
Ctrl+Shift+S		Save As...	workbench.action.files.saveAs
Ctrl+F4			Close	workbench.action.closeActiveEditor
unassigned		Close Others	workbench.action.closeOtherEditors
Ctrl+K W		Close Group	workbench.action.closeEditorsInGroup
unassigned		Close Other Groups	workbench.action.closeEditorsInOtherGroups
unassigned		Close Group to Left	workbench.action.closeEditorsToTheLeft
unassigned		Close Group to Right	workbench.action.closeEditorsToTheRight
Ctrl+K Ctrl+W		Close All	workbench.action.closeAllEditors
Ctrl+Shift+T		Reopen Closed Editor	workbench.action.reopenClosedEditor
Ctrl+K Enter		Keep Open	workbench.action.keepEditor
Ctrl+Tab		Open Next	workbench.action.openNextRecentlyUsedEditorInGroup
Ctrl+Shift+Tab		Open Previous	workbench.action.openPreviousRecentlyUsedEditorInGroup
Ctrl+K P		Copy Path of Active File	workbench.action.files.copyPathOfActiveFile
Ctrl+K R		Reveal Active File in Windows	workbench.action.files.revealActiveFileInWindows
Ctrl+K O		Show Opened File in New Window	workbench.action.files.showOpenedFileInNewWindow
unassigned		Compare Opened File With	workbench.files.action.compareFileWith

Display
Key	Command	Command id
-------------------------------------------------------------------------------------------------------
F11			Toggle Full Screen	workbench.action.toggleFullScreen
Ctrl+K Z		Toggle Zen Mode	workbench.action.toggleZenMode
Escape Escape		Leave Zen Mode	workbench.action.exitZenMode
Ctrl+=			Zoom in	workbench.action.zoomIn
Ctrl+-			Zoom out	workbench.action.zoomOut
Ctrl+Numpad0		Reset Zoom	workbench.action.zoomReset
Ctrl+B			Toggle Sidebar Visibility	workbench.action.toggleSidebarVisibility
Ctrl+Shift+E		Show Explorer / Toggle Focus	workbench.view.explorer
Ctrl+Shift+D		Show Debug	workbench.view.debug
Ctrl+Shift+G		Show Git	workbench.view.git
Ctrl+Shift+X		Show Extensions	workbench.view.extensions
Ctrl+Shift+U		Show Output	workbench.action.output.toggleOutput
Ctrl+Q			Quick Open View	workbench.action.quickOpenView
Ctrl+Shift+F		Show Search	workbench.view.search
Ctrl+Shift+H		Replace in Files	workbench.action.replaceInFiles
Ctrl+Shift+J		Toggle Search Details	workbench.action.search.toggleQueryDetails
Ctrl+Shift+C		Open New Command Prompt	workbench.action.terminal.openNativeConsole
Ctrl+Shift+V		Toggle Markdown Preview	markdown.showPreview
Ctrl+K V		Open Preview to the Side	markdown.showPreviewToSide
Ctrl+`			Toggle Integrated Terminal	workbench.action.terminal.toggleTerminal
shift-alt, arrowdown 	copy line  
tony sneed, vscode expert 
wade andersono, vscode expert 
tobias kalhart 		,vscode presenter 
